"행정구역별(시군구)","연령별",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
"행정구역별(시군구)","연령별",내국인(15세이상)-계,내국인-미혼,내국인-배우자있음,내국인-사별,내국인-이혼,남자(15세이상)-계,남자-미혼,남자-배우자있음,남자-사별,남자-이혼,여자(15세이상)-계,여자-미혼,여자-배우자있음,여자-사별,여자-이혼
"면부","70~74세",322091,2893,208968,103898,6332,140087,1531,122554,11906,4096,182004,1362,86414,91992,2236
"면부","75~79세",298366,1976,159989,133564,2837,116890,805,99609,14837,1639,181476,1171,60380,118727,1198
"면부","80~84세",196564,1222,76157,118035,1150,65415,347,51502,13056,510,131149,875,24655,104979,640
"면부","85세이상",127212,1466,27536,97568,642,32440,261,20764,11201,214,94772,1205,6772,86367,428
"서울특별시","합계",8393832,2974906,4481669,519388,417869,4089115,1588213,2263110,71675,166117,4304717,1386693,2218559,447713,251752
"서울특별시","15~19세",543220,542815,305,83,17,278210,278071,90,36,13,265010,264744,215,47,4
"서울특별시","20~24세",681323,673851,6832,243,397,340249,338082,1882,105,180,341074,335769,4950,138,217
"서울특별시","25~29세",721164,642650,76824,200,1490,357206,333449,23213,98,446,363958,309201,53611,102,1044
"서울특별시","30~34세",821484,461220,352439,403,7422,413399,259117,151559,148,2575,408085,202103,200880,255,4847
"서울특별시","35~39세",765387,258095,485455,1595,20242,384774,147706,229522,361,7185,380613,110389,255933,1234,13057
"서울특별시","40~44세",806102,176393,576998,4668,48043,403286,104820,280591,916,16959,402816,71573,296407,3752,31084
"서울특별시","45~49세",787835,99349,603554,11572,73360,387743,60861,297516,2153,27213,400092,38488,306038,9419,46147
"서울특별시","50~54세",764101,53315,602531,24414,83841,372490,33024,302104,4071,33291,391611,20291,300427,20343,50550
"서울특별시","55~59세",746284,34049,590167,43315,78753,356721,18919,299320,6733,31749,389563,15130,290847,36582,47004
"서울특별시","60~64세",556511,15653,435754,57401,47703,264516,7563,228555,8106,20292,291995,8090,207199,49295,27411
"서울특별시","65~69세",434319,8196,321733,74690,29700,205890,3689,178400,9906,13895,228429,4507,143333,64784,15805
"서울특별시","70~74세",337207,4498,228683,87629,16397,159007,1829,137072,12310,7796,178200,2669,91611,75319,8601
"서울특별시","75~79세",225924,2560,129885,86402,7077,98952,741,83445,11558,3208,126972,1819,46440,74844,3869
"서울특별시","80~84세",121873,1233,51486,66879,2275,44602,194,35363,8113,932,77271,1039,16123,58766,1343
"서울특별시","85세이상",81098,1029,19023,59894,1152,22070,148,14478,7061,383,59028,881,4545,52833,769
